center,left,right,label
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_0.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_0.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_0.mp4,0
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_1.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_1.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_1.mp4,1
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_2.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_2.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_2.mp4,2
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_3.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_3.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_3.mp4,3
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_4.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_4.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_4.mp4,4
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_5.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_5.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_5.mp4,5
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_6.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_6.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_6.mp4,6
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_7.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_7.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_7.mp4,7
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_8.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_8.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_8.mp4,8
17_Vu_1-200_1-2-3_0118___center_device11_signer17_center_ord1_9.mp4,17_Vu_1-200_1-2-3_0118___left_device20_signer17_left_ord1_9.mp4,17_Vu_1-200_1-2-3_0118___right_device10_signer17_right_ord1_9.mp4,9
